id,y,text,com
29,1,"accident capitala! doua automobile sau ciocnit intersectia strazii ||alba|| ||iulia|| cu ||sucevita|| informeaza agora
31,1,accident grav intersectia strazilor ||alba|| ||iulia|| si ||paris|| din capitala o masina model volvo xc90 se afla intr o stare deplorabila dupa ce sa lovit violent o alta masina,
33,1,inca un accident rutier sa inregistrat aceasta dimineata pe strada ||vissarion|| belinski intersectie cu strada ion pelivan din capit||ion|| ||belinski|| intersectie cu ||strada|| ion ||pelivan|| din capitala,
36,1,o masina a politiei a intrat ieri seara jurul orei 23:00 intr un gard al unui bloc locuit pe ||strada|| ||alba|| ||iulia|| ||75/22|| din sectorul buiucani al capitalei,
37,1,potrivit politiei totul sa intamplat jurul orei 10:00 pe ||strada|| ||sarmisegetuza|| din sectorul botanica al capitalei un mercedesa fost grav avariat dupa ce sa ciocnit violent cu o kia,
42,1,accident dimineata capitala trei masini sau tamponat pe ||bulevardul|| ||stefan|| ||cel|| ||mare|| nu departe ||strada|| ||petru|| ||movila|| un automobil dacia a franat brusc semafor iar alte doua masini nerespectand distanta l au tamponat d,
45,1,un sofer a decedat fata locului iar masina sa a fost rupta doua propriu dupa unu accident ce a avut loc aceasta dimineata pe ||traseul|| ||budesti|| ||cruzesti|| din municipiul chisinau,
46,1,un barbat 57 ani a fost accidentat mortal duminica seara 22 octombrie pe ||traseul|| ||chisinau|| ||hancesti|| ||intersecti||e cu ||satul|| ||danceni|| soferul a parasit locul accidentului insa scurt timp a fost retinut mentioneaza ipn,
48,1,sambata 28 octombrie jurul orei 19:00 pe ||strada|| ||vasile|| ||alecsandri|| din or cahul soferul unui autoturism model ford” a tamponat un barbat 55 ani soferul vinovat a parasit locul accidentului iar scu,
49,1,ion focsa seful directiei sud a politiei frontiera a fost implicat data 28 octombrie intr un accident rutier localitatea ||svetlai|| ||comrat||,
50,1,fost grav avariate dupa ce au fost implicate intr un accident rutier coliziunea dintre cele doua unitati transport a avut loc sambata 30 septembrie pe ||traseul|| ||chisinau|| ||leuseni||,
52,1,accident lant intersectia strazilor ||bucuresti|| cu ||sfatul|| ||tarii|| trei automobile sau tamponat violent aceasta dimineata,
52,1,potrivit martorilor vina se face soferul automobilului marca jaguar circuland pe ||strada|| ||sfatul|| ||tarii|| nu sa asigurat si a lovit automobilul marca mercedes benz care ulterior a lovit un automobil ford,
53,1,ccident soroca cu implicarea unui microbuz ruta un biciclist a decedat dupa ce o maxi taxi a dat peste el tragedia a avut loc jurul orei 20:30 apropiere ||satul|| ||rublenita|| ||noua||,
54,1,accidentul a avut loc intersectia strazilor ||sfatul|| ||tarii|| si ||alexei|| ||sciusev|| in urma coleziunii unul dintre automobile a fost proiectat intr un pilon,
55,1,accidentul a avut loc sambata seara 23 septembrie jurul orei 19:55 pe ||strada|| ||calea|| ||iesilor|| din municipiul balti,
57,1,accidentul a avut loc vineri 22 septembrie jurul orei 10:15 pe ||traseul|| ||chisinau|| ||rezina|| ||apropiere|| ||localitatea|| ||chipirceni|| din raionul orhei,
58,1,un accident rutier sa produs zilele trecute apropierea podului dintre satul parcani si ||orasul|| ||bender||,
58,0,volanul vehicului se afla un locuitor al ||orasului|| ||bender|| varsta 61 ani,
60,1,a ce automobilul cu care se deplasa a iesit pe sosea si sa rasturnat accidentul a avut loc dupa amiaza zilei joi 21 septembrie jurul orei 14:14 ||langa|| ||localitatea|| gv||ozdova|| raionul ||floresti||,
61,1,potrivit politiei totul sa intamplat aseara jurul orei 20:40 pe soseaua ||ungheni|| ||sculeni|| barbatul care se deplasa cu bicicleta a decedat pe loc dupa ce a fost lovit plin o mazda volanul careia se afla un tanar 21 ani,
62,1,accidentul a avut loc luni 18 septembrie jurul orei 21:50 pe ||traseul|| ||chisinau|| ||ungheni|| potrivit todaymd,
66,1,un accident rutier a avut loc ||orasul|| ||cimislia|| aceasta dimineata urma impactului autotren ului si a unui automobil conducatoarea automobilului efectua virarea spre stanga pe banda dreapt,
68,1,un alt accident sa petrecut pe ||strada|| ||alba|| ||iulia|| din sectorul ||buiucani|| al capitalei din imagine se vede cum un microbuz model mercedes este grav accidentat,
71,1,accidentul sa produsaceasta dupa amiaza pe ||traseul|| ||dintre|| ||satele|| ||isnovat|| si ||stetcani|| raionul ||criuleni||,
73,1,o fata 18 ani a fost lovita o masina timp ce traversa strada regulamentar accidentul a avut loc aseara pe ||bulevardul|| ||dimitrie|| ||cantemir|| din ca||pita||la,
77,1,incidentul a avut loc pe ||strada|| ||panin|| din orasul bender langa ||statia|| ||azs|| ||51|| masina condusa un prieten familie era o tanara 24 ani si o fiica sa trei ani un moment dat soferul varsta 23 ani nu,
81,1,o masina sa inversat pe ||bd|| ||dacia|| ||viaduct|| dupa ce sa lovit bordura volanul automobilului model bmw x6 se afla o tanara varsta 22 ani care se deplasa spre sectorul botanica al capit,
82,1,accidentul sa intamplat aceasta dimineata ||apropiere|| comuna ||tohatin||,
84,1,un barbat varsta 64 ani a decedat dupa ce a fost lovit mortal un automobil tragedia a avut loc ||satul|| ||pererita|| din raionul ||briceni||,
84,1,un barbat varsta 64 ani a decedat dupa ce a fost lovit mortal un automobil tragedia a avut loc ||satul|| ||pererita|| din raionul ||briceni||,
85,1,c pentru un barbat 45 ani din criuleni acesta a fost lovit mortal un automobil cand trecea strada neregulamentar impactul a avut loc aseara jurul orei 22:00 ||intrare||a ||satul|| ||peresecina||,
87,1,potrivit ofiterului presa al inspectoratului politie ||briceni|| aliona bulgari un barbat varsta 30 ani deplasandu se cu automobil model bmv pierzand controlul volanului derapand pe partea carosabila a,
92,1,un barbat varsta 52 ani a decedat urma unui accident care a avut loc aseara acesta a fost lovit timp ce traversa strada neregulamentar ||intrare||a ||satul|| ||pelivan|| raionul ||orhei||,
94,1,sfarsit tragic pentru un batran varsta 78 ani din ||satul|| ||peresecina|| raionul ||orhei|| acesta a fost lovit o masina timp ce traversa strada pe trecerea pietoni totul sa intamplat ieri seara satul peresecina,
94,1,tran varsta 78 ani din satul peresecina raionul orhei acesta a fost lovit o masina timp ce traversa strada pe trecerea pietoni totul sa intamplat ieri seara ||satul|| ||peresecina||,
99,1,accidentul sa produs pe ||strada|| ||podgorenilor|| din sectorul rascani al capitalei potrivit politiei conducatorul auto a pierdut controlul volanului dupa ce a adormit volan,
100,1,accident mortal raionul edinet o femeie 68 ani a fost lovita un tractor timp ce mergea pe marginea drumului impactul a avut loc ieri ||satul|| ||hlinaia||,
101,1,un autobuz pe ruta soroca ungheni a lovit sase persoane chiar pe platoul asteptare a ||auto|| ||garii|| sa intamplat intre ora 1300 1330 ziua vineri 24 noiembrie,
102,1,||sensul|| ||giratoriu|| ||str|| ||petricani|| ||supraten|| este inregistrat accident rutier respectiv se circula cu dificultate intersectia data accident sunt implicate mai mul,
119,1,un tir sa rasturnat pe ||traseul|| ||chisinau|| ||ungheni|| cel mai probabil camionul sa inversat din cauza vitezei excesive si a carosabilului umed,
123,1,potrivit martorilor totul sa intamplat ieri jurul orei 16:00 pe ||traseul|| ||calarasi|| ||chisinau|| vehiculul ar fi derapat pe sosea din cauza zapezii,
125,1,pe ||strada|| ||kiev|| 3 sa inregistrat un accident rutier respectiv se circula cu dificultate pe strkiev directia sensului giratoriu alecu russo – moscovei traficul,
129,1,potrivit politiei impactul a avut loc jurul orei 8:00 pe ||strada|| ||puskin|| din capitala un volkswagen sa ciocnit cu un autocamion nimeni nu a avut suferit insa ambele masini au fost avariate,
131,1,un tanar 18 ani a scapat cu viata dupa ce sa izbit violent cu masina un pilon electricitate accidentul sa produsaceasta dimineata pe ||strada|| ||doina|| din sectorul rascani al capitalei,
136,1,comotie cerebrala si excoriatia fetei alte circumstante se stabilesc informeaza serghei lozan inspector principal al sectiei securitate publica al inspect||oratul||ui politie so||atul||ui politie ||soroca||,
136,1,o masina a fost grav avariata intr un alt accident rutier produs cu o zi mai devreme pe ||traseul|| ||soroca|| ||rublenita|| care au fost implicate trei automobile politia a stabilit ca conducatorul automobilului wolksvagen pasat avand exces viteza a tamp,
139,1,un renault a ajuns sant dupa ce sa tamponat cu o dacia impactul a avut loc aceasta dimineata pe ||soseaua|| ||balcani||,
141,1,ploua cu accidente in capitala decurs doar cateva ore sau produs doua accidente pe strazile calea basarabiei si ||mihai|| ||viteazu||,
148,1,accident capitala cu implicarea unui troleibuz impactul a avut loc pe ||bulevardul|| ||stefan|| ||cel|| ||mare|| intersectie cu ||serghei|| ||lazo||,
149,1,un accident rutier sa produs ieri seara aproximativ ora 20:25 intersectia ||bd|| ||stefan|| ||cel|| ||mare|| 128 a cu str ||testimitanu|| mun balti,
150,1,"grav accident rutier ||satul|| ||pirlita|| raionul ||ungheni|| un barbat a murit dupa ar fi fost lovit un automobil volkswagen golf seara zilei marti",
152,1,sfarsit tragic pentru un barbat varsta 64 ani acesta a fost lovit un automobil trecerea pietoni accidentul sa intamplat seara zilei ieri pe ||strada|| ||calea|| ||iesilor|| ai capitalei,
162,1,un grav accident rutier a avut loc aceasta astazi regiunea noului pod parte a ||centur||ii ||ocolire|| a mun ||ungheni|| din localitatea ||zagarancea|| conform informatiilor transmise redactia blogului nostru pagina facebook a blogului catre ciobanu ana m,
162,1,un autoturism model mercedes sa rasturnat regiunea podului parte a ||centur||ii mun ||ungheni|| din intravilanul ||satul||ui ||zagarancea|| conform sursei urma acidentului au fost ranite grav doua persoane referitor cauza accidentului urmeaza sa se ex,
162,1,accident tragic a luat viata unui barbat 31 ani din s ||zagarancea|| din raionul ||ungheni|| tanar si a gasit sfar||situl|| timp ce incerca sa ajunga,
163,1,accident grav ||apropiere|| ||orasul|| ||straseni|| un sofer 66 ani a decedat dupa ce automobilul pe care il conducea a derapat pe traseu si sa rasturnat,
167,1,la 4 ianuarie 2018 aproximativ ora 5:30 pe traseul 30 kilometrul 65 apropierea statiei alimentare cu petrol peco amplasata ||marginea|| ||orasului|| ||stefan|| ||voda|| un barbat varsta 46 ani locuitor al orasului stefan voda conducand autovehiculul land rover nu sa ispravit cu ghidajul si a ta,
167,1,la 4 ianuarie 2018 aproximativ ora 5:30 pe traseul 30 kilometrul 65 apropierea statiei alimentare cu petrol peco amplasata ||marginea|| ||orasului|| ||stefan|| ||voda|| un barbat varsta 46 ani locuitor al orasului stefan voda conducand autovehiculul land rover nu sa ispravit cu ghidajul si a ta,
169,1,potrivit inspectoratului national patrulare accidentul sa produs intersectia strazilor ||maria|| ||dragan|| si ||ciocana||,
181,1,accidentul sa intamplat aceasta noapte ||satul|| ||baimaclia|| raionul ||causeni|| potrivit oamenilor legii victima nu avea permis conducere,
184,1,doua automobile sau ciocnit violent sectorul ciocana al capitalei accidentul sa produs pe ||strada|| ||vadul|| ||lui|| ||voda||,
185,1,doua masini model opel si toyota sau ciocnit frontal intersectia strazilor ||banulescu|| ||bodoni|| si 31 ||august|| 1989 din chisinau accidentul rutier a avut loc jurul orei 12:30 urma acestuia creandu se ambuteiaj zona,
200,1,accident grav straseni un copil care se afla sanius pe strada 1 ||mai|| spre ||strada|| ||unirii|| a intrat sub roata unei masini care se deplasa regulamentar pe strada unirii a orasului,
200,1,accident grav straseni un copil care se afla sanius pe strada 1 mai spre strada unirii a intrat sub roata unei masini care se deplasa regulamentar pe ||strada|| ||unirii|| a orasului,
212,1,bil sa rasturnat si a ciocnit un alt autobuz pe cursa sangerei copaceni dupa ce soferul masinii a pierdut controlul volanului accidentul a avut loc ieri pe ||strada|| ||independentei|| din orasul sangerei potrivit politiei soferul automobilului intentiona sa depaseasca o alta masina,
218,1,un autoturism model volkswagen polo a iesit pe traseu regiunea podului parte a ||centur||ii mun ||ungheni|| din intravilanul ||satul||ui ||zagarancea|| si sa ciocnit intr un pilon pentru electricitate referitor cauza accidentului urmeaza sa se expuna inspectorat,
222,1,accident grav intersectia strazilor ||vadul|| ||lui|| ||voda|| si ||tudor|| ||vladimirescu|| doua automobile sau izbit frontal potrivit martorilor unul din soferi se afla sub influenta alcoolului nu au fost,
224,1,ieri seara jurul orei 18:00 satul ||balauresti|| raionul ||nisporeni|| soferul unui autoturism model vaz” a tamponat o femeie varsta 62 ani care sa ales cu o factura brat,
227,1,un barbat varsta 50 ani a decedat dupa ce a fost lovit un automobil timp se deplasa cu bicicleta tragedia sa intamplat astazi jurul orei 18:00 satul ||tintareni|| raionul ||telenesti||,
228,1,accident groaznic pe soseua 20 ||intre|| ||localitatile|| ||step|| ||soci|| ||chiperceni|| din ||raionul|| ||orhei||,
230,1,un sofer a ajuns cu bmw ul int o statie statie transport public incidentul a avut loc aceasta dimineata pe ||strada|| ||dimo|| din oraselul ||durlesti||,
232,1,accident grav sectorul ciocana doua autoturisme model opel si wolkswagen sau tamponat rondul intersectia strazilor ||alecu|| ||russo|| cu ||mihai|| ||sadoveanu|| potrivit martorilor oculari doua persoane au suferit leziuni usoare fata locului au venit si doua masini ambulanta care au,
233,1,potrivit politiei totul sa intamplat pe soseaua ||chisinau|| ||leuseni|| aceasta dimineata un sofer 21 ani din iasi care conducea un land rover ar fi pierdut controlul asupra volanului si a intrat cu masina intr,
235,1,patru persoane au fost transportate spitalul urgenta urma unui accident pe ||soseau|| ||balcani|| intersectie cu ||strada|| ||deleanu||,
236,1,accidentul a avut loc satul ||balabanu||l raionul ||taraclia|| si nimeni nu a avut suferit fata locului au intervenit autospecialele descarcerare iar operatiunea a durat trei ore,
238,1,"volkswagen t4 a derapat dimineata acestei zile 9 februarie pe traseu si a fost proiectat intr un arbore accidentul a avut loc pe ||traseul|| ||r16|| ||balti|| ||falesti|| sculen ||intre|| s ||frumusica|| si s||calugar|| raionul falesti",
239,1,un pas tragedie un autocisterna cu gaz lichefiat sa rasturnat apropiere ||localitatea|| ||cornesti|| din raionul ||ungheni||,
244,1,un troleibuz plin cu pasageri pe ruta numarul 24 a fost lovit un autoturism aseara sectorul rascani al capitalei totul sa intamplat pe ||strada|| ||alecu|| ||russo|| timp ce soferul unui automobil marca toyota a incercat sa depaseasca o alta masina iar consecinta a intrat violent troleibuz,
245,1,un barbat si o femeie au murit iar o alta persoana a fost ranita urma unui accident rutier produsapropiere satul ||verejeni|| raionul ||telenesti||,
247,1,seara zilei miercuri 6 septembrie intersectia strazilor ||ion|| ||dumeniuc|| si ||bd|| ||mircea|| ||cel|| ||batran|| a avut loc un accident urma caruia o masina sa inversat,
248,1,un automobil marca volvo a ajuns intr un copac accidentul sa produs ieri seara ||periferia|| orasului ||orhei||,
249,1,update 14:59 suspectul care lovit mortal un copil 7 ani din satul ||corjeuti|| raionul ||briceni|| este consilier local,
252,1,chisinau 28 feb — sputnik un accident cu consecinte extrem grave sa produs seara zilei ieri ora 1831 pe soseaua r6 apropierea localitatii ||braviceni|| raionul ||orhei||,
253,1,accidentul a avut loc duminica 4 martie jurul orei 12:40 localitatea ||volovita|| din raionul ||soroca||,
255,1,un barbat aproximativ 55 ani a fost spitalizat dupa ce a fost spulberat o masina langa o trecere pietoni pe ||strada|| ||gheorghe|| ||asachi|| din capitala,
257,1,accidentul sa produs jurul orei 1600 intersecdtia strazilor ||bucuresti|| v||alecsandri||,
259,1,intrarea localitatea ||besalma|| ||uta|| ||gagauzia|| un motociclist sa lovit intr un copac nu departe un cimitir,
260,1,etichete: accident chisinaudepasire pe contrasensmercedes prin intre masini||strada|| ||ciuflea||triplu ghinion,
265,1,un camion a derapat si a intrat intr un parapet ||apropiere||a orasului ||hancesti|| motivul accidentului este din cauza ca camionul a alunecat momentul cand a vrut sa coteasca si a ramas blocat mijlocul drumului scrie,
266,1,accident violent cu implicarea a trei automobile intersectia strazilor ||vasile|| ||alecsandri|| si ||mihail|| ||kogilniceanu|| din capitala,
268,1,accidentul rutier a avut loc seara zilei marti 27 martie ||intre|| localitatile ||grigorievca|| si ||baccealia||,
271,1,o femeie si un copil au avut suferit urma unui accident produsacum o ora capitala incidentul a avut loc intersectia strazilor ||drumul|| ||viilor|| si ||george|| ||meniuc||,
272,1,potrivit martorilor care au expediat poze pe adresa email a redactiei ziarul national accidentul a avut loc jurul orei 1230 pe ||strada|| ||stefan|| ||cel|| ||mare|| din ||balti||,
281,1,un accident tragic sa produs dupa amiaza zilei joi 12 aprilie pe traseul chisinau orhei preajma localului ||doi|| ||haiduci||” impactul violent intre doua automobile a curmat viata unei persoane victima este fostul vicepresedinte al raionului orhei si fostul sef al in,
284,1,un accident rutier a avut loc dupa amiaza zilei 18 aprilie jurul orei 16:30 ||intre|| satul ||iurceni|| si ||cristesti|| din raionul ||nisporeni|| cel putin doua masini au fost surprinse fata locului stare grav avariata,
296,1,un accident grav sa produsacum cateva minute pe soseaua chisinau – ||ialoveni|| apropiere ||razeni|| cel putin doua persoane au fost ranite,
297,1,un accident rutier a avut loc aceasta dimineata intersectia strazilor ||mihai|| ||eminescu|| cu ||alexandru|| ||cel|| ||bun|| din municipiului ungheni imediata vecinatate a consulatului romaniei,
301,1,un accident grav sa produs pe ||strada|| ||ismail|| intersectie cu ||calea|| ||basarabiei|| soferul unui camion a strivit un tanar care se deplasa pe o motoreta tanarul avea 22 ani si a murit pe loc din c,
302,1,pe str ||ismail|| ||apropiere|| intersectie cu ||str|| ||calea|| ||basarabiei|| este inregistrat accident rutier un motociclist sa tamponat intr o masina toyota fata locului a intervenit un e,
302,0,zona se circula cu dificultate pe ||str|| ||ismail|| directia spre ||str|| ||calea|| ||basarabiei|| astfel serviciul ”infotrafic” recomanda conducatorilor auto:,
305,1,zapada si neatentia volan il va costa scump pe un sofer din capitala cu putin timp urma acesta a deraiat si sa izbit cu masina gardul protectie al ||pod||ului pe ||strada|| ||ismail||,
308,1,accident rutier pe ||strada|| ||costiujeni|| codru cu implicarea a doua autoturisme nimeni nu a avut suferit,
309,1,potrivit politiei totul sa intamplat jurul orei 23:00 ||intersectia|| ||str|| ||azilor onisifor ||ghibu|| cu ||alba|| ||iulia|| un volkswagen condus un tanar 27 ani sa ciocnit violent cu o skoda care se afla soferul 25 ani si doi pasageri 34,
310,1,grav accident rutier produsapropierea localitatii ||romanvca|| din raionul ||sangerei|| urma caruia au decedat persoane,
316,1,ziua 27 octombrie curent ora 1220 politia capitalei a fost alertata despre faptul comiterii unei tamponari pieton pe ||strada|| ||ismail|| urma caruia a avut patimit un tanar timp ce traversa strada trecerea pietonala nedirijata fata locului sau deplasat angajatii serviciului u,
317,1,tinutii a fost implicat intr un accident pe drumul cu sens giratoriu intersectia strazilor henri coanda calea iesilor mitropolit dosoftei ||ion|| ||creanga|| si ||bulevardul|| ||stefan|| ||cel|| ||mare|| si ||sfant|| acesta sa ciocnit cu un automobil marca ”dacia”,
320,1,saptamana a inceput cu ghinion pentru trei soferi masinile acestora sau tompanat timp ce se deplasau pe ||strada|| ||miorita|| sin chisinau,
322,1,un accident grav a avut loc dupa amiaza acestei zile 6 septembrie jurul orei 14:35 intersectia strazilor ||ion|| ||ganea|| si ||mihail|| ||lomonosov|| din cartierul malina mica mun chisinau,
323,1,accident nocturn sectorul botanica al capitalei un taximetrist a ajuns spital dupa ce a provocat un accident lant ||intersectia|| ||str||azilor ||decebal|| si ||trandafirilor||,
324,1,potrivit martorilor soferita 25 ani circula pe ||strada|| ||vlaicu|| ||parcalab|| iar bmw ul pe ||mihail|| ||kogalniceanu|| dupa producerea accidentului soferul bmw ul a scos numerele inmatriculare ale masinii si a refuzat s,
327,1,accident lant pe ||strada|| ||alexei|| ||mateevici|| din capitala patru masini sau ciocnit dupa ce conducatorul primului automobil se pare ca a franat brusc iar ceilalti nu au respe,
328,1,impactul a avut loc intersectia strazii 31 ||august|| cu ||strada|| ||ismail||,
331,1,pe strada a ||puskin|| intersectie cu ||bulevardul|| ||stefan|| ||cel|| ||mare|| este inregistrat accident rutier respectiv se circula cu dificultate perimetrul intersectiei cauza,
332,1,accidentul sa intamplat aceasta dupa amiaza pe ||bulevardul|| ||stefan|| ||cel|| ||mare|| intersectie cu ||strada|| ||vlaicu|| ||parcalab||potrivit politiei adolescentul traversa regulamentar strada cand a fost lovit puiternic o masina,
332,1,accidentul sa intamplat aceasta dupa amiaza pe ||bulevardul|| ||stefan|| ||cel|| ||mare|| intersectie cu ||strada|| ||vlaicu|| ||parcalab||potrivit politiei adolescentul traversa regulamentar strada cand a fost lovit puiternic o masina,
333,1,accident grav capitala patru masini sau tamponat pe ||strada|| ||stefan|| ||cel|| ||mare|| intersectie cu ||vlaicu|| ||pircalab||,
335,1,dimineta zilei noiembrie curent politia capitalei a fost solicitata sa intervina intr un caz tamponare e unei femei produs pe ||bulervadul|| ||dacia|| tecerea pentru pietoni fata locului a sa deplasat grupa operativa care a constatat ca un barbat 73 ani conducand automobilul model volkswag,
337,1,rul telecentru special directia spre sectorul botanica dupa ce cinci vehicule sau ciocnit lant accidentul a avut loc dupa amiaza acestei zile 7 noiembrie pe ||strada|| ||miorita|| din capitala,
338,1,accident mortal capitala un barbat varsta 47 ani a decedat dupa ce a fost lovit un taxi pe ||soseaua|| ||hancesti|| din capitala tragedia a avut loc azi seara jurul orei 21:30,
341,1,o soferita varsta 33 ani din chisinau a ajuns cu masina intr un panou publicitar dupa ce a derapat pe traseu accidentul sa produsaceasta dimineata pe ||soseaua|| ||hancesti|| telecentru,
343,1,accidentul sa produs intersectia strazii ||vasile|| ||alecsandri|| cu ||bulevardul|| ||stefan|| ||cel|| ||mare||,
346,1,a avut loc prima jumatate a acestei zile jurul orei 12:00 cu implicarea unei masini serviciu a politiei acesta a avut loc intersectia ||bulevardul||ui ||stefan|| ||cel|| ||mare|| si ||sfant|| cu ||strada|| ||armeneasca|| din chisinau,
350,1,trei femei au ajuns spital aceasta dimineata dupa ce microbuzul care se aflau sa ciocnit cu un automobil impactul a avut loc intersectia ||bulevardul||ui ||dacia|| cu ||strada|| trandafirilor din chisinau,
351,1,accident violent pe traseul chisinau balti apropiere satul ||lupa|| ||recea|| doua persoane tata si fiica au fost un pas moarte dupa ce masina cu care se deplasau a derapat pe traseu si sa rostogolit cateva ori,
353,1,au scapat nevatamati urma unui accident rutier incidentul a avut loc din cauza neatentiei unuia dintre conducatorii auto intersectia strazilor ||ion|| ||creanga|| si ||eugen|| ||coca|| din sectorul buiucani al capitalei,
353,1,mai exact un sofer varsta 25 ani aflat volanul unui autoturism marca rover se deplasa pe ||strada|| ||ion|| ||creanga|| sa angajat intr o virare stanga dar nu sa asigurat sa semnalizeze manevra cand fapt trebuia sa cedeze trecerea celuilalt automobil,
354,1,potrivit autorului fotografiilor accidentul sa produs dimineata zilei luni pe ||strada|| visarion belinschi din sectorul buiucani al capitalei un automobil marca toyota sa ciocnit cu un chry||rada|| ||visarion|| ||belinschi|| din sector,
356,1,doua masini sau ciocnit dupa ce soferii se pare ca nu au putut imparti drumul pe bd ||stefan|| ||cel|| ||mare|| si ||sfant|| ||apropiere|| intersectia cu ||strada|| ||petru|| ||movila|| cel mai probabil victime nu sunt insa unul dintre soferi va trebui sa achite despagubiri,
357,1,update 21:26 o masina politie care transporta un infractor a fost lovita plin cu putin timp urma pe ||strada|| ||alba|| ||iulia|| din sectorul buiucani al capitalei potrivit politiei echipa mobila a brigadei reactie operativa bro se intorcea o chemare din durles,
360,1,potrivit martorului ocular accidentul sa produs intersectia strazilor ||vasile|| ||alecsandri|| si ||bucuresti|| din centru capitalei,
363,1,o masina a politiei din chisinau sa ciocnit lateral cu un automobil aceasta dimineata intersectia strazilor ||studentilor|| si ||calea|| ||orheiului||,
363,1,echipajul 902 se deplasa o interventie pe ||strada|| ||studentilor|| iar celalalt vehicul venea din directia opusa,
364,1,aceasta dimineata un automobil model nissan a derapat pe ||strada|| ||calea|| ||orheiului|| ||ceucari|| si a lovit un gard pe marginea drumului,
365,1,a nins cu inca un accident capitala aceasta data pe ||strada|| ||calea|| ||orheiului|| din cartierul posta veche,
369,1,accident pe ||pod||ul pe ||strada|| ||ismail|| intersectie cu strada albisoara din chisinau un motociclist sa lovit intr un automobil model bmw iar apoi intr un mercedes,
370,1,intersectia strazilor ||vadul|| ||lui|| ||voda|| cu ||mesterul|| ||manole|| din capitala a fost inregistrat un accident rutier cu implicarea a trei autovehicule inspectorii patrulare au interven,
371,1,un accident lant a avut loc aceasta dimineata pe ||strada|| ||vadul|| ||lui|| ||voda|| din capitala urma impactului o persoana a murit,
373,1,potrivt politei accidentul a avut loc acum o ora pe ||pod||ul intersectia strazilor ||muncesti|| cu ||gradina|| ||botanica|| soferul mercedes ului ar fi pierdut controlul volanului a derapat si sa rasturnat,
375,1,accidentul sa produsastazi intersectia ||bulevardul||ui ||stefan|| ||cel|| ||mare|| cu ||strada|| ||mihai|| ||eminescu|| un automobil sa ciocnit cu un troleibuzin urma impactului automobilul a fost grav avariat iar o banda,
376,1,un barbat moare dupa ce inima acestuia sa oprit fiind lovit o masina timp ce travesa strada incidentul a avut loc aseara intersectia strazilor ||vasile|| ||alecsandri|| si ||mitropolit|| ||varlaam|| din centrul capitalei,
